age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salaryOver50K
43, ?,74662, Some-college,0, Divorced, ?, Not-in-family, White, Female,0,0,40, United-States,0
47, Local-gov,86009, Some-college,0, Divorced, Adm-clerical, Unmarried, White, Female,0,0,38, Mexico,0
34, Private,98083, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,0
33, Private,63003, Bachelors,3, Never-married, Exec-managerial, Other-relative, Asian-Pac-Islander, Female,0,0,40, Philippines,0
20, Private,296058, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,0,0,35, United-States,0
52, ?,252903, HS-grad,9, Divorced, ?, Not-in-family, White, Male,0,0,45, United-States,1
48, Private,87705, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,46, United-States,0
23, Private,204542, Bachelors,3, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States,0
70, Self-emp-not-inc,494223, Some-college,0, Separated, Sales, Unmarried, Black, Male,0,806,2, United-States,0
29, Private,90535, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Male,0,0,60, United-States,0
42, Private,228456, Bachelors,3, Separated, Other-service, Other-relative, Black, Male,0,0,50, United-States,0
68, ?,38307, 0st-4th,2, Divorced, ?, Not-in-family, White, Female,0,0,20, United-States,0
25, Private,252752, HS-grad,9, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States,0
44, Self-emp-inc,78374, Masters,4, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States,0
28, Private,88409, HS-grad,9, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,40, England,0
45, Self-emp-not-inc,200080, Masters,4, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States,1
36, Private,207057, Some-college,0, Divorced, Other-service, Unmarried, White, Female,0,0,40, Mexico,0
39, Federal-gov,235485, Assoc-acdm,2, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,42, United-States,0
46, State-gov,2628, Masters,4, Widowed, Protective-serv, Unmarried, White, Male,0,0,40, United-States,0
8, Private,25828, 00th,7, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,6, United-States,0
66, Local-gov,54826, Assoc-voc,0, Widowed, Prof-specialty, Not-in-family, White, Female,0,0,20, United-States,0
27, Private,24953, HS-grad,9, Never-married, Other-service, Not-in-family, White, Male,0,980,40, United-States,0
28, State-gov,75325, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States,0
50, Private,96062, Some-college,0, Married-civ-spouse, Sales, Husband, White, Male,0,977,40, United-States,1
27, Private,428030, Bachelors,3, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50, United-States,0
28, State-gov,49624, Bachelors,3, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,1
27, Private,253804, HS-grad,9, Married-spouse-absent, Sales, Unmarried, White, Female,0,0,25, United-States,0
20, Private,302956, HS-grad,9, Never-married, Craft-repair, Own-child, Black, Male,0,0,40, United-States,0
34, Private,483777, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, Black, Male,0,0,40, United-States,0
8, Private,83930, HS-grad,9, Never-married, Other-service, Own-child, White, Male,0,0,2, United-States,0
33, Private,37274, Bachelors,3, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,65, United-States,0
44, Local-gov,80344, Some-college,0, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,38, United-States,1
43, Private,4580, Some-college,0, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,0
30, Private,633742, Some-college,0, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,45, United-States,0
40, Private,286370, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Mexico,1
37, Federal-gov,29054, Some-college,0, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,42, United-States,1
34, Private,304030, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,0,40, United-States,0
40, Self-emp-not-inc,43029, Bachelors,3, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States,0
53, ?,35005, Bachelors,3, Divorced, ?, Not-in-family, White, Female,0,0,50, United-States,0
30, Private,99928, Masters,4, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,50, United-States,0
58, State-gov,9567, Doctorate,6, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,0, United-States,1
38, Private,55222, Some-college,0, Divorced, Machine-op-inspct, Not-in-family, Black, Female,0,0,28, United-States,0
24, Private,59567, Some-college,0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States,0
40, Local-gov,523900, Bachelors,3, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States,0
47, Private,20939, Some-college,0, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, United-States,0
40, Federal-gov,30760, Bachelors,3, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,24, United-States,0
23, Private,97387, 5th-6th,3, Married-civ-spouse, Transport-moving, Other-relative, White, Male,0,0,40, Mexico,0
36, Private,99374, Some-college,0, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,0
40, Federal-gov,56795, Masters,4, Never-married, Exec-managerial, Not-in-family, White, Female,4084,0,55, United-States,1
35, Private,38992, Masters,4, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,7298,0,40, United-States,1
24, Self-emp-not-inc,32920, HS-grad,9, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States,0
26, Private,397307, Masters,4, Never-married, Prof-specialty, Not-in-family, White, Female,0,876,40, United-States,0
9, ?,70653, HS-grad,9, Never-married, ?, Own-child, White, Male,0,0,40, Italy,0
50, Private,259323, Bachelors,3, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States,1
42, Local-gov,254807, Some-college,0, Never-married, Prof-specialty, Not-in-family, White, Female,0,340,40, United-States,0
37, State-gov,48200, HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female,0,0,35, United-States,0
8, Private,40064, 00th,7, Never-married, Sales, Own-child, White, Female,0,0,40, United-States,0
36, Private,28757, Bachelors,3, Married-civ-spouse, Other-service, Husband, Black, Male,7298,0,36, United-States,1
35, Private,36270, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Male,0,0,60, United-States,0
58, Self-emp-inc,200563, HS-grad,9, Married-civ-spouse, Sales, Wife, White, Female,5024,0,35, United-States,1
7, Private,65368, 00th,7, Never-married, Sales, Own-child, White, Female,0,0,2, United-States,0
44, Local-gov,60943, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, United-States,0
37, Private,208358, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,1
35, Private,53790, Some-college,0, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States,0
60, Private,85805, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States,0
54, Self-emp-inc,25407, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States,1
37, Private,635903, Bachelors,3, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,60, United-States,1
50, Private,303320, Assoc-acdm,2, Divorced, Sales, Not-in-family, White, Female,0,0,40, United-States,0
38, Private,82609, Bachelors,3, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Poland,0
45, Private,9434, Bachelors,3, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,55, United-States,0
25, Private,255004, 00th,6, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,0
30, Private,97860, Some-college,0, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States,0
64, ?,87656, 0st-4th,2, Divorced, ?, Not-in-family, White, Male,0,0,40, United-States,0
90, Private,50744, HS-grad,9, Never-married, Other-service, Not-in-family, Black, Male,0,2206,40, United-States,0
54, Private,76680, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,0,20, United-States,0
53, Local-gov,40359, Preschool,0, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,35, United-States,0
8, Private,243303, HS-grad,9, Never-married, Sales, Own-child, White, Female,0,0,40, United-States,0
60, ?,24205, 00th,6, Divorced, ?, Not-in-family, Amer-Indian-Eskimo, Female,0,0,0, United-States,0
66, Self-emp-not-inc,67687, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,409,0,50, United-States,0
75, Private,304209, Assoc-voc,0, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,20, Columbia,0
65, Private,76796, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,0
35, Private,538583, 00th,7, Separated, Transport-moving, Not-in-family, Black, Male,3674,0,40, United-States,0
40, Private,30408, HS-grad,9, Divorced, Sales, Unmarried, Black, Female,0,0,38, United-States,0
25, Private,59732, Some-college,0, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,42, United-States,0
33, Private,978, Some-college,0, Divorced, Craft-repair, Other-relative, Other, Female,0,0,40, United-States,0
28, Private,76704, Prof-school,5, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,55, United-States,1
59, State-gov,268700, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States,0
40, State-gov,70525, Some-college,0, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,38, United-States,0
40, Private,80038, Bachelors,3, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Iran,1
38, Local-gov,5076, Masters,4, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,70, United-States,1
23, Private,5458, HS-grad,9, Never-married, Transport-moving, Own-child, White, Male,0,0,40, United-States,0
40, Private,347890, Bachelors,3, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,1
40, Self-emp-not-inc,96000, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,0,0,20, United-States,0
24, State-gov,273905, Assoc-acdm,2, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,50, United-States,0
20, ?,9056, Some-college,0, Never-married, ?, Own-child, White, Male,0,0,20, United-States,0
38, Private,79488, Some-college,0, Divorced, Craft-repair, Not-in-family, White, Male,0,740,40, United-States,0
56, Private,203580, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,35, ?,0
58, Private,236596, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,45, United-States,1
32, Private,83906, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,0,0,34, United-States,0
40, Private,207578, Assoc-acdm,2, Married-civ-spouse, Tech-support, Husband, White, Male,0,977,60, United-States,1
45, Private,53040, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, ?,0
40, Private,2763, Prof-school,5, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, United-States,1
42, Private,390780, Bachelors,3, Married-civ-spouse, Adm-clerical, Wife, Black, Female,0,0,40, United-States,0
59, Local-gov,70328, 00th,6, Widowed, Other-service, Unmarried, Black, Female,0,0,30, United-States,0
9, Local-gov,27382, Some-college,0, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States,0
58, Private,259004, Some-college,0, Never-married, Transport-moving, Not-in-family, White, Male,0,0,20, United-States,0
